Customer Name,Invoice Number,Liters,Area,Date,Status
fiiiiooooo,INV1001,0,Unknown,11/03/2025,Deliver
dxfcgvjhkj,INV1001,0,Unknown,11/03/2025,Deliver
New Customer,INV1001,0,Unknown,11/03/2025,Deliver
New Customer,INV1002,0,Unknown,11/03/2025,Deliver
hello india,INV1001,0,Unknown,11/03/2025,Deliver
BANKIT LUM,INV1001,0,Unknown,11/03/2025,Deliver
HEPRIT,INV1003,0,Unknown,11/03/2025,Deliver
KONGNAH,INV1003,0,Unknown,11/03/2025,Deliver
USDHHDS,INV1005,0,Unknown,11/03/2025,Deliver
BANKIT HIHBFDIFEWJASK,INV1002,0,Unknown,11/03/2025,Deliver
BANKIT DON,INV1003,100,SHILLONG,28/02/2025,Deliver
DONBOK CTDXYUJHJ;,INV1004,100,BHOI,11/01/2025,Deliver
